key,total_ms,count,avg_ms,min_ms,max_ms
L00/minicpm4/attn/decode,263.288,24,10.970348,0.567936,226.287140
L00/minicpm4/attn/prefill,18146.028,76,238.763521,2.225920,672.565186
L00/minicpm4/attn_kernel/decode,238.380,24,9.932510,0.371168,205.829208
L00/minicpm4/attn_kernel/prefill,17215.271,76,226.516719,1.863904,659.850769
L00/minicpm4/input_norm/decode,1.415,24,0.058971,0.027904,0.486368
L00/minicpm4/input_norm/prefill,26.079,76,0.343148,0.060032,0.368448
L00/minicpm4/mlp/decode,3.087,24,0.128613,0.097952,0.634080
L00/minicpm4/mlp/prefill,3382.508,76,44.506684,0.120352,72.673759
L00/minicpm4/o_gate/decode,2.792,24,0.116335,0.016704,1.835744
L00/minicpm4/o_gate/prefill,294.472,76,3.874638,0.114336,5.968192
L00/minicpm4/o_proj/decode,0.852,24,0.035520,0.013984,0.087488
L00/minicpm4/o_proj/prefill,234.876,76,3.090472,0.065952,5.230112
L00/minicpm4/post_attn_norm/decode,0.728,24,0.030333,0.006912,0.102208
L00/minicpm4/post_attn_norm/prefill,87.766,76,1.154821,0.046912,1.232128
L00/minicpm4/qkv_proj/decode,20.327,24,0.846972,0.046080,18.459040
L00/minicpm4/qkv_proj/prefill,400.617,76,5.271274,0.114720,6.300352
L01/lightning-attn/attn/decode,20.728,24,0.863677,0.324832,5.343680
L01/lightning-attn/attn/prefill,2914.186,76,38.344554,0.974048,54.808960
L01/lightning-attn/input_norm/decode,0.239,24,0.009945,0.003808,0.037120
L01/lightning-attn/input_norm/prefill,25.709,76,0.338281,0.005824,0.364448
L01/lightning-attn/mlp/decode,2.808,24,0.117000,0.098208,0.165184
L01/lightning-attn/mlp/prefill,5224.797,76,68.747331,0.116832,84.959679
L01/lightning-attn/post_attn_norm/decode,0.855,24,0.035637,0.008992,0.047040
L01/lightning-attn/post_attn_norm/prefill,116.372,76,1.531214,0.024416,2.507616
L01/lightning/chunk_simple_gla/prefill,265.051,75,3.534009,0.468576,7.814752
L01/lightning/fla_kernel/decode,12.658,24,0.527404,0.152416,3.571200
L01/lightning/fla_kernel/prefill,282.385,76,3.715591,0.617696,8.012064
L01/lightning/fla_state_load/decode,2.391,24,0.099632,0.021568,0.299648
L01/lightning/fla_state_load/prefill,10.624,76,0.139795,0.027712,3.161728
L01/lightning/fla_state_save/decode,1.601,24,0.066704,0.037856,0.187040
L01/lightning/fla_state_save/prefill,1.597,76,0.021015,0.011392,0.101824
L01/lightning/fused_recurrent_gla/decode,7.942,24,0.330911,0.062816,3.058976
L01/lightning/fused_recurrent_gla/prefill,1.594,1,1.594368,1.594368,1.594368
L01/lightning/o_norm/decode,0.498,24,0.020745,0.004448,0.031168
L01/lightning/o_norm/prefill,33.036,76,0.434688,0.035904,1.074208
L01/lightning/o_proj/decode,0.948,24,0.039517,0.032000,0.051584
L01/lightning/o_proj/prefill,534.636,76,7.034681,0.045600,11.900320
L01/lightning/qk_norm/decode,0.790,24,0.032901,0.010880,0.063040
L01/lightning/qk_norm/prefill,214.099,76,2.817090,0.025664,4.185440
L01/lightning/qkv_proj/decode,0.901,24,0.037523,0.027520,0.061344
L01/lightning/qkv_proj/prefill,985.932,76,12.972792,0.069248,18.628927
L01/lightning/rope/decode,2.447,24,0.101955,0.015712,1.486432
L01/lightning/rope/prefill,281.295,76,3.701248,0.021760,6.685248
L01/lightning/sigmoid_gate/decode,1.215,24,0.050628,0.038208,0.063488
L01/lightning/sigmoid_gate/prefill,582.273,76,7.661483,0.080160,13.694336
L02/lightning-attn/attn/decode,13.379,24,0.557457,0.441440,0.706080
L02/lightning-attn/attn/prefill,2407.215,76,31.673882,0.673792,37.153183
L02/lightning-attn/input_norm/decode,0.114,24,0.004751,0.003424,0.010080
L02/lightning-attn/input_norm/prefill,26.063,76,0.342936,0.008000,0.397312
L02/lightning-attn/mlp/decode,2.734,24,0.113905,0.099808,0.140736
L02/lightning-attn/mlp/prefill,5195.020,76,68.355527,0.106880,79.656258
L02/lightning-attn/post_attn_norm/decode,0.759,24,0.031623,0.008384,0.037504
L02/lightning-attn/post_attn_norm/prefill,88.030,76,1.158286,0.017184,1.232832
L02/lightning/chunk_simple_gla/prefill,173.728,75,2.316376,0.200160,3.674624
L02/lightning/fla_kernel/decode,6.563,24,0.273445,0.226656,0.448128
L02/lightning/fla_kernel/prefill,182.629,76,2.403014,0.329632,3.791136
L02/lightning/fla_state_load/decode,1.060,24,0.044171,0.033536,0.076768
L02/lightning/fla_state_load/prefill,4.917,76,0.064697,0.027392,0.128192
L02/lightning/fla_state_save/decode,1.416,24,0.059019,0.034272,0.128672
L02/lightning/fla_state_save/prefill,1.241,76,0.016330,0.009536,0.048736
L02/lightning/fused_recurrent_gla/decode,3.367,24,0.140279,0.116096,0.227648
L02/lightning/fused_recurrent_gla/prefill,0.160,1,0.160032,0.160032,0.160032
L02/lightning/o_norm/decode,0.446,24,0.018593,0.004576,0.027520
L02/lightning/o_norm/prefill,24.757,76,0.325753,0.032096,0.384064
L02/lightning/o_proj/decode,0.870,24,0.036231,0.030368,0.046752
L02/lightning/o_proj/prefill,342.512,76,4.506741,0.042976,5.905024
L02/lightning/qk_norm/decode,0.938,24,0.039104,0.013696,0.048832
L02/lightning/qk_norm/prefill,202.067,76,2.658772,0.025440,2.945856
L02/lightning/qkv_proj/decode,0.943,24,0.039299,0.029920,0.048032
L02/lightning/qkv_proj/prefill,991.478,76,13.045762,0.053536,18.606016
L02/lightning/rope/decode,1.153,24,0.048053,0.016032,0.061760
L02/lightning/rope/prefill,263.963,76,3.473192,0.022144,3.695264
L02/lightning/sigmoid_gate/decode,1.137,24,0.047376,0.038176,0.060672
L02/lightning/sigmoid_gate/prefill,399.325,76,5.254274,0.055616,6.627840
L03/lightning-attn/attn/decode,12.901,24,0.537543,0.517216,0.586112
L03/lightning-attn/attn/prefill,2631.417,76,34.623914,0.635936,39.590431
L03/lightning-attn/input_norm/decode,0.099,24,0.004140,0.003520,0.005952
L03/lightning-attn/input_norm/prefill,25.801,76,0.339489,0.006048,0.366496
L03/lightning-attn/mlp/decode,2.745,24,0.114357,0.097664,0.140928
L03/lightning-attn/mlp/prefill,4830.536,76,63.559680,0.104000,71.267876
L03/lightning-attn/post_attn_norm/decode,0.760,24,0.031679,0.009056,0.043040
L03/lightning-attn/post_attn_norm/prefill,87.758,76,1.154711,0.019744,1.233888
L03/lightning/chunk_simple_gla/prefill,177.356,75,2.364748,0.181664,2.936704
L03/lightning/fla_kernel/decode,6.407,24,0.266973,0.220992,0.423520
L03/lightning/fla_kernel/prefill,185.910,76,2.446186,0.283776,3.058048
L03/lightning/fla_state_load/decode,1.027,24,0.042801,0.031936,0.070240
L03/lightning/fla_state_load/prefill,4.551,76,0.059885,0.026784,0.115584
L03/lightning/fla_state_save/decode,1.383,24,0.057628,0.033344,0.128672
L03/lightning/fla_state_save/prefill,1.405,76,0.018488,0.013344,0.046272
L03/lightning/fused_recurrent_gla/decode,3.286,24,0.136923,0.111104,0.213376
L03/lightning/fused_recurrent_gla/prefill,0.131,1,0.131328,0.131328,0.131328
L03/lightning/o_norm/decode,0.435,24,0.018109,0.004096,0.026560
L03/lightning/o_norm/prefill,24.109,76,0.317228,0.031552,0.349152
L03/lightning/o_proj/decode,0.882,24,0.036764,0.030336,0.044704
L03/lightning/o_proj/prefill,364.293,76,4.793323,0.036896,5.893952
L03/lightning/qk_norm/decode,0.843,24,0.035115,0.013472,0.043808
L03/lightning/qk_norm/prefill,209.838,76,2.761024,0.025728,3.047744
L03/lightning/qkv_proj/decode,0.897,24,0.037371,0.029568,0.046080
L03/lightning/qkv_proj/prefill,1151.472,76,15.150945,0.041728,17.275871
L03/lightning/rope/decode,1.032,24,0.042996,0.015648,0.048896
L03/lightning/rope/prefill,262.030,76,3.447768,0.022144,3.694240
L03/lightning/sigmoid_gate/decode,1.136,24,0.047353,0.038560,0.060352
L03/lightning/sigmoid_gate/prefill,433.262,76,5.700822,0.051584,6.763040
L04/lightning-attn/attn/decode,12.722,24,0.530097,0.504960,0.586112
L04/lightning-attn/attn/prefill,2655.675,76,34.943094,0.617536,38.830078
L04/lightning-attn/input_norm/decode,0.108,24,0.004520,0.003008,0.009120
L04/lightning-attn/input_norm/prefill,25.730,76,0.338553,0.005984,0.364544
L04/lightning-attn/mlp/decode,2.746,24,0.114396,0.098304,0.140160
L04/lightning-attn/mlp/prefill,5046.511,76,66.401464,0.107360,72.178238
L04/lightning-attn/post_attn_norm/decode,0.732,24,0.030508,0.009088,0.041824
L04/lightning-attn/post_attn_norm/prefill,87.831,76,1.155677,0.019520,1.234912
L04/lightning/chunk_simple_gla/prefill,180.990,75,2.413193,0.180288,2.721696
L04/lightning/fla_kernel/decode,6.278,24,0.261597,0.213216,0.423616
L04/lightning/fla_kernel/prefill,189.449,76,2.492749,0.273408,2.848128
L04/lightning/fla_state_load/decode,1.006,24,0.041932,0.031360,0.071712
L04/lightning/fla_state_load/prefill,4.417,76,0.058113,0.028704,0.113184
L04/lightning/fla_state_save/decode,1.386,24,0.057753,0.032768,0.128992
L04/lightning/fla_state_save/prefill,1.429,76,0.018807,0.013952,0.045984
L04/lightning/fused_recurrent_gla/decode,3.184,24,0.132657,0.105856,0.203584
L04/lightning/fused_recurrent_gla/prefill,0.125,1,0.125344,0.125344,0.125344
L04/lightning/o_norm/decode,0.441,24,0.018387,0.003904,0.027136
L04/lightning/o_norm/prefill,23.815,76,0.313350,0.028704,0.346016
L04/lightning/o_proj/decode,0.894,24,0.037248,0.030048,0.051424
L04/lightning/o_proj/prefill,387.265,76,5.095597,0.037152,5.615040
L04/lightning/qk_norm/decode,0.829,24,0.034537,0.013280,0.042016
L04/lightning/qk_norm/prefill,210.525,76,2.770060,0.025696,3.018880
L04/lightning/qkv_proj/decode,0.877,24,0.036523,0.028512,0.043968
L04/lightning/qkv_proj/prefill,1130.930,76,14.880662,0.043072,16.792160
L04/lightning/rope/decode,1.049,24,0.043711,0.015680,0.047776
L04/lightning/rope/prefill,261.968,76,3.446951,0.022144,3.686048
L04/lightning/sigmoid_gate/decode,1.125,24,0.046876,0.040608,0.059712
L04/lightning/sigmoid_gate/prefill,451.209,76,5.936962,0.051616,6.609216
L05/lightning-attn/attn/decode,12.640,24,0.526672,0.503392,0.580960
L05/lightning-attn/attn/prefill,2585.988,76,34.026159,0.637504,37.224895
L05/lightning-attn/input_norm/decode,0.105,24,0.004384,0.003072,0.008576
L05/lightning-attn/input_norm/prefill,25.705,76,0.338226,0.006336,0.364352
L05/lightning-attn/mlp/decode,2.727,24,0.113623,0.097824,0.146144
L05/lightning-attn/mlp/prefill,5030.815,76,66.194938,0.104512,73.517151
L05/lightning-attn/post_attn_norm/decode,0.733,24,0.030559,0.008832,0.042048
L05/lightning-attn/post_attn_norm/prefill,87.764,76,1.154785,0.015456,1.232096
L05/lightning/chunk_simple_gla/prefill,173.268,75,2.310238,0.174720,2.595008
L05/lightning/fla_kernel/decode,6.263,24,0.260951,0.213568,0.425856
L05/lightning/fla_kernel/prefill,181.746,76,2.391398,0.298944,2.722176
L05/lightning/fla_state_load/decode,1.001,24,0.041715,0.032096,0.069120
L05/lightning/fla_state_load/prefill,4.476,76,0.058901,0.027840,0.125440
L05/lightning/fla_state_save/decode,1.381,24,0.057524,0.032736,0.128672
L05/lightning/fla_state_save/prefill,1.403,76,0.018461,0.013312,0.046048
L05/lightning/fused_recurrent_gla/decode,3.179,24,0.132460,0.105856,0.208480
L05/lightning/fused_recurrent_gla/prefill,0.138,1,0.138368,0.138368,0.138368
L05/lightning/o_norm/decode,0.429,24,0.017865,0.003872,0.025888
L05/lightning/o_norm/prefill,24.071,76,0.316720,0.031744,0.346240
L05/lightning/o_proj/decode,0.847,24,0.035295,0.030304,0.046720
L05/lightning/o_proj/prefill,372.514,76,4.901494,0.037280,5.446912
L05/lightning/qk_norm/decode,0.828,24,0.034487,0.012960,0.042496
L05/lightning/qk_norm/prefill,208.098,76,2.738129,0.025728,2.948160
L05/lightning/qkv_proj/decode,0.897,24,0.037385,0.029504,0.045984
L05/lightning/qkv_proj/prefill,1101.856,76,14.498107,0.035744,15.926240
L05/lightning/rope/decode,1.031,24,0.042967,0.015680,0.052032
L05/lightning/rope/prefill,262.238,76,3.450507,0.022144,3.687072
L05/lightning/sigmoid_gate/decode,1.122,24,0.046751,0.040288,0.058880
L05/lightning/sigmoid_gate/prefill,434.968,76,5.723266,0.054144,6.324736
L06/lightning-attn/attn/decode,12.623,24,0.525944,0.502240,0.569664
L06/lightning-attn/attn/prefill,2612.979,76,34.381296,0.627520,37.360832
L06/lightning-attn/input_norm/decode,0.104,24,0.004333,0.003136,0.010688
L06/lightning-attn/input_norm/prefill,25.733,76,0.338587,0.006112,0.363552
L06/lightning-attn/mlp/decode,2.728,24,0.113651,0.098432,0.135840
L06/lightning-attn/mlp/prefill,5002.497,76,65.822327,0.106720,72.746307
L06/lightning-attn/post_attn_norm/decode,0.731,24,0.030459,0.008992,0.040704
L06/lightning-attn/post_attn_norm/prefill,87.805,76,1.155332,0.015040,1.235936
L06/lightning/chunk_simple_gla/prefill,174.669,75,2.328923,0.170848,2.597376
L06/lightning/fla_kernel/decode,6.220,24,0.259184,0.212768,0.412672
L06/lightning/fla_kernel/prefill,183.151,76,2.409881,0.290336,2.769248
L06/lightning/fla_state_load/decode,0.988,24,0.041168,0.031200,0.069088
L06/lightning/fla_state_load/prefill,4.458,76,0.058663,0.025760,0.106144
L06/lightning/fla_state_save/decode,1.372,24,0.057184,0.032256,0.130368
L06/lightning/fla_state_save/prefill,1.435,76,0.018888,0.014976,0.043680
L06/lightning/fused_recurrent_gla/decode,3.166,24,0.131900,0.105024,0.209280
L06/lightning/fused_recurrent_gla/prefill,0.127,1,0.127104,0.127104,0.127104
L06/lightning/o_norm/decode,0.440,24,0.018348,0.003936,0.031168
L06/lightning/o_norm/prefill,23.806,76,0.313237,0.029920,0.342912
L06/lightning/o_proj/decode,0.865,24,0.036024,0.030048,0.049984
L06/lightning/o_proj/prefill,375.276,76,4.937836,0.035904,5.406208
L06/lightning/qk_norm/decode,0.832,24,0.034681,0.013088,0.046944
L06/lightning/qk_norm/prefill,208.946,76,2.749294,0.025728,2.956480
L06/lightning/qkv_proj/decode,0.908,24,0.037820,0.029888,0.044192
L06/lightning/qkv_proj/prefill,1120.102,76,14.738186,0.042176,16.122721
L06/lightning/rope/decode,1.022,24,0.042588,0.016032,0.048320
L06/lightning/rope/prefill,262.240,76,3.450523,0.022144,3.687072
L06/lightning/sigmoid_gate/decode,1.129,24,0.047049,0.040288,0.066976
L06/lightning/sigmoid_gate/prefill,438.940,76,5.775525,0.052832,6.271520
L07/lightning-attn/attn/decode,12.505,24,0.521047,0.500416,0.577600
L07/lightning-attn/attn/prefill,2614.032,76,34.395159,0.616320,37.670273
L07/lightning-attn/input_norm/decode,0.098,24,0.004095,0.002848,0.009120
L07/lightning-attn/input_norm/prefill,25.727,76,0.338515,0.006112,0.364672
L07/lightning-attn/mlp/decode,2.736,24,0.114013,0.097184,0.143200
L07/lightning-attn/mlp/prefill,5022.211,76,66.081730,0.104416,72.823105
L07/lightning-attn/post_attn_norm/decode,0.729,24,0.030367,0.009024,0.041088
L07/lightning-attn/post_attn_norm/prefill,87.758,76,1.154712,0.020320,1.234848
L07/lightning/chunk_simple_gla/prefill,174.577,75,2.327687,0.163424,2.613952
L07/lightning/fla_kernel/decode,6.163,24,0.256776,0.209024,0.423232
L07/lightning/fla_kernel/prefill,183.149,76,2.409853,0.280192,2.740608
L07/lightning/fla_state_load/decode,0.974,24,0.040577,0.031232,0.069248
L07/lightning/fla_state_load/prefill,4.543,76,0.059776,0.027200,0.144064
L07/lightning/fla_state_save/decode,1.373,24,0.057225,0.031936,0.133056
L07/lightning/fla_state_save/prefill,1.417,76,0.018640,0.015264,0.042944
L07/lightning/fused_recurrent_gla/decode,3.125,24,0.130197,0.102752,0.205440
L07/lightning/fused_recurrent_gla/prefill,0.133,1,0.133024,0.133024,0.133024
L07/lightning/o_norm/decode,0.441,24,0.018392,0.003616,0.029984
L07/lightning/o_norm/prefill,23.822,76,0.313448,0.030624,0.345216
L07/lightning/o_proj/decode,0.855,24,0.035627,0.029920,0.044352
L07/lightning/o_proj/prefill,377.011,76,4.960665,0.041824,5.418528
L07/lightning/qk_norm/decode,0.807,24,0.033620,0.012960,0.042016
L07/lightning/qk_norm/prefill,209.039,76,2.750515,0.025472,2.957248
L07/lightning/qkv_proj/decode,0.903,24,0.037623,0.029920,0.043904
L07/lightning/qkv_proj/prefill,1118.106,76,14.711923,0.041984,16.270048
L07/lightning/rope/decode,1.004,24,0.041848,0.015712,0.047040
L07/lightning/rope/prefill,262.214,76,3.450184,0.022144,3.687072
L07/lightning/sigmoid_gate/decode,1.127,24,0.046951,0.038560,0.060768
L07/lightning/sigmoid_gate/prefill,440.172,76,5.791742,0.052288,6.367520
L08/lightning-attn/attn/decode,13.159,24,0.548293,0.489984,0.689376
L08/lightning-attn/attn/prefill,2609.216,76,34.331787,0.626912,37.511456
L08/lightning-attn/input_norm/decode,0.096,24,0.003992,0.002976,0.004672
L08/lightning-attn/input_norm/prefill,25.724,76,0.338474,0.006112,0.364288
L08/lightning-attn/mlp/decode,2.738,24,0.114073,0.100224,0.144160
L08/lightning-attn/mlp/prefill,5023.131,76,66.093829,0.104704,73.027901
L08/lightning-attn/post_attn_norm/decode,0.751,24,0.031279,0.009056,0.039392
L08/lightning-attn/post_attn_norm/prefill,87.769,76,1.154854,0.007680,1.235424
L08/lightning/chunk_simple_gla/prefill,174.168,75,2.322243,0.240224,2.612800
L08/lightning/fla_kernel/decode,6.803,24,0.283465,0.210304,0.411104
L08/lightning/fla_kernel/prefill,182.592,76,2.402526,0.284704,2.941312
L08/lightning/fla_state_load/decode,1.012,24,0.042184,0.030688,0.070336
L08/lightning/fla_state_load/prefill,4.438,76,0.058400,0.025536,0.234944
L08/lightning/fla_state_save/decode,1.390,24,0.057935,0.032224,0.129632
L08/lightning/fla_state_save/prefill,1.419,76,0.018675,0.013984,0.044416
L08/lightning/fused_recurrent_gla/decode,3.702,24,0.154239,0.103104,0.272384
L08/lightning/fused_recurrent_gla/prefill,0.128,1,0.127936,0.127936,0.127936
L08/lightning/o_norm/decode,0.444,24,0.018499,0.003744,0.027168
L08/lightning/o_norm/prefill,23.880,76,0.314207,0.029024,0.347232
L08/lightning/o_proj/decode,0.853,24,0.035544,0.029952,0.045728
L08/lightning/o_proj/prefill,375.940,76,4.946578,0.038400,5.463520
L08/lightning/qk_norm/decode,0.801,24,0.033392,0.013120,0.042272
L08/lightning/qk_norm/prefill,208.838,76,2.747871,0.025440,2.963552
L08/lightning/qkv_proj/decode,0.904,24,0.037652,0.029888,0.055200
L08/lightning/qkv_proj/prefill,1116.694,76,14.693340,0.041728,16.145504
L08/lightning/rope/decode,1.017,24,0.042357,0.016000,0.051520
L08/lightning/rope/prefill,262.219,76,3.450251,0.022144,3.686048
L08/lightning/sigmoid_gate/decode,1.128,24,0.046991,0.040128,0.058944
L08/lightning/sigmoid_gate/prefill,438.557,76,5.770493,0.050784,6.338880
L09/minicpm4/attn/decode,17.898,24,0.745752,0.538752,1.202912
L09/minicpm4/attn/prefill,12882.263,76,169.503462,0.858496,702.566711
L09/minicpm4/attn_kernel/decode,14.963,24,0.623457,0.357280,1.090880
L09/minicpm4/attn_kernel/prefill,11722.661,76,154.245534,0.615360,689.933899
L09/minicpm4/input_norm/decode,0.100,24,0.004156,0.002880,0.005568
L09/minicpm4/input_norm/prefill,25.728,76,0.338523,0.004096,0.364384
L09/minicpm4/mlp/decode,2.553,24,0.106363,0.097952,0.118080
L09/minicpm4/mlp/prefill,4529.352,76,59.596737,0.104224,72.453438
L09/minicpm4/o_gate/decode,0.860,24,0.035836,0.017504,0.058976
L09/minicpm4/o_gate/prefill,393.580,76,5.178690,0.066816,6.199680
L09/minicpm4/o_proj/decode,0.721,24,0.030053,0.013984,0.041408
L09/minicpm4/o_proj/prefill,333.088,76,4.382731,0.043712,5.288928
L09/minicpm4/post_attn_norm/decode,0.517,24,0.021533,0.006848,0.047936
L09/minicpm4/post_attn_norm/prefill,87.723,76,1.154247,0.027872,1.233888
L09/minicpm4/qkv_proj/decode,0.829,24,0.034523,0.025664,0.041920
L09/minicpm4/qkv_proj/prefill,432.297,76,5.688122,0.040352,6.239872
L10/lightning-attn/attn/decode,11.690,24,0.487096,0.300928,0.578688
L10/lightning-attn/attn/prefill,2575.652,76,33.890153,0.661120,57.628960
L10/lightning-attn/input_norm/decode,0.106,24,0.004424,0.003072,0.007072
L10/lightning-attn/input_norm/prefill,25.748,76,0.338785,0.006112,0.364864
L10/lightning-attn/mlp/decode,2.702,24,0.112575,0.098880,0.139584
L10/lightning-attn/mlp/prefill,5085.808,76,66.918522,0.102464,84.095039
L10/lightning-attn/post_attn_norm/decode,0.719,24,0.029943,0.008928,0.037824
L10/lightning-attn/post_attn_norm/prefill,89.889,76,1.182749,0.014752,2.021920
L10/lightning/chunk_simple_gla/prefill,186.164,75,2.482189,0.192384,8.303296
L10/lightning/fla_kernel/decode,5.837,24,0.243207,0.151936,0.352448
L10/lightning/fla_kernel/prefill,195.972,76,2.578585,0.299904,8.531264
L10/lightning/fla_state_load/decode,0.910,24,0.037927,0.021504,0.051872
L10/lightning/fla_state_load/prefill,5.510,76,0.072502,0.028256,0.206752
L10/lightning/fla_state_save/decode,1.418,24,0.059080,0.035520,0.128992
L10/lightning/fla_state_save/prefill,1.389,76,0.018279,0.013440,0.048256
L10/lightning/fused_recurrent_gla/decode,2.921,24,0.121728,0.066912,0.168832
L10/lightning/fused_recurrent_gla/prefill,0.141,1,0.141056,0.141056,0.141056
L10/lightning/o_norm/decode,0.461,24,0.019208,0.004288,0.032800
L10/lightning/o_norm/prefill,24.760,76,0.325787,0.031040,0.740128
L10/lightning/o_proj/decode,0.869,24,0.036205,0.030112,0.045376
L10/lightning/o_proj/prefill,375.428,76,4.939839,0.036416,8.910208
L10/lightning/qk_norm/decode,0.657,24,0.027383,0.011232,0.050272
L10/lightning/qk_norm/prefill,208.715,76,2.746247,0.025696,4.557504
L10/lightning/qkv_proj/decode,0.826,24,0.034435,0.025856,0.043680
L10/lightning/qkv_proj/prefill,1063.559,76,13.994191,0.042560,16.346048
L10/lightning/rope/decode,0.824,24,0.034339,0.015616,0.055520
L10/lightning/rope/prefill,267.181,76,3.515541,0.022144,7.966240
L10/lightning/sigmoid_gate/decode,1.117,24,0.046555,0.038560,0.054272
L10/lightning/sigmoid_gate/prefill,439.558,76,5.783653,0.054560,10.764672
L11/lightning-attn/attn/decode,12.294,24,0.512252,0.440320,0.543712
L11/lightning-attn/attn/prefill,2583.865,76,33.998223,0.614656,38.138882
L11/lightning-attn/input_norm/decode,0.098,24,0.004065,0.003072,0.005120
L11/lightning-attn/input_norm/prefill,25.837,76,0.339957,0.006112,0.363616
L11/lightning-attn/mlp/decode,2.739,24,0.114123,0.098912,0.138656
L11/lightning-attn/mlp/prefill,5001.989,76,65.815647,0.104896,79.725891
L11/lightning-attn/post_attn_norm/decode,0.736,24,0.030668,0.008832,0.041536
L11/lightning-attn/post_attn_norm/prefill,88.080,76,1.158944,0.009504,1.232128
L11/lightning/chunk_simple_gla/prefill,175.899,75,2.345323,0.168544,3.534304
L11/lightning/fla_kernel/decode,6.031,24,0.251288,0.217440,0.352032
L11/lightning/fla_kernel/prefill,184.427,76,2.426675,0.280768,3.659072
L11/lightning/fla_state_load/decode,0.946,24,0.039399,0.032416,0.054208
L11/lightning/fla_state_load/prefill,4.513,76,0.059377,0.029152,0.098016
L11/lightning/fla_state_save/decode,1.384,24,0.057657,0.032832,0.130688
L11/lightning/fla_state_save/prefill,1.374,76,0.018080,0.013472,0.043072
L11/lightning/fused_recurrent_gla/decode,3.032,24,0.126332,0.108480,0.167584
L11/lightning/fused_recurrent_gla/prefill,0.133,1,0.132864,0.132864,0.132864
L11/lightning/o_norm/decode,0.455,24,0.018965,0.004896,0.031456
L11/lightning/o_norm/prefill,24.228,76,0.318792,0.029152,0.402176
L11/lightning/o_proj/decode,0.854,24,0.035597,0.030272,0.045248
L11/lightning/o_proj/prefill,369.448,76,4.861153,0.033504,6.171008
L11/lightning/qk_norm/decode,0.801,24,0.033355,0.013536,0.047008
L11/lightning/qk_norm/prefill,208.275,76,2.740461,0.025824,2.957600
L11/lightning/qkv_proj/decode,0.884,24,0.036852,0.029536,0.045312
L11/lightning/qkv_proj/prefill,1101.438,76,14.492600,0.043264,17.828672
L11/lightning/rope/decode,0.941,24,0.039227,0.015488,0.052800
L11/lightning/rope/prefill,263.649,76,3.469061,0.022144,3.691168
L11/lightning/sigmoid_gate/decode,1.127,24,0.046939,0.038816,0.059584
L11/lightning/sigmoid_gate/prefill,431.902,76,5.682918,0.051040,6.920544
L12/lightning-attn/attn/decode,12.307,24,0.512791,0.448512,0.538944
L12/lightning-attn/attn/prefill,2625.540,76,34.546584,0.602976,39.757088
L12/lightning-attn/input_norm/decode,0.097,24,0.004039,0.003072,0.004608
L12/lightning-attn/input_norm/prefill,25.796,76,0.339420,0.006016,0.378912
L12/lightning-attn/mlp/decode,2.738,24,0.114092,0.099200,0.139488
L12/lightning-attn/mlp/prefill,4981.942,76,65.551868,0.102432,73.080864
L12/lightning-attn/post_attn_norm/decode,0.730,24,0.030403,0.009088,0.037664
L12/lightning-attn/post_attn_norm/prefill,87.761,76,1.154755,0.008864,1.235744
L12/lightning/chunk_simple_gla/prefill,177.199,75,2.362651,0.162048,2.954784
L12/lightning/fla_kernel/decode,5.977,24,0.249059,0.211648,0.354400
L12/lightning/fla_kernel/prefill,185.945,76,2.446642,0.265312,3.288416
L12/lightning/fla_state_load/decode,0.931,24,0.038781,0.031200,0.053920
