key,total_ms,count,avg_ms,min_ms,max_ms
L10/lightning/rope/decode,0.387,8,0.048436,0.046464,0.051968
L10/lightning/rope/prefill,90.928,28,3.247435,0.022144,3.679904
L10/lightning/sigmoid_gate/decode,0.362,8,0.045212,0.043136,0.048160
L10/lightning/sigmoid_gate/prefill,151.465,28,5.409456,0.047136,6.179168
L11/lightning-attn/attn/decode,4.259,8,0.532388,0.511616,0.554144
L11/lightning-attn/attn/prefill,900.945,28,32.176620,0.585312,36.623775
L11/lightning-attn/input_norm/decode,0.050,8,0.006252,0.004064,0.009184
L11/lightning-attn/input_norm/prefill,8.919,28,0.318527,0.006112,0.362624
L11/lightning-attn/mlp/decode,0.816,8,0.101960,0.098784,0.108448
L11/lightning-attn/mlp/prefill,1726.360,28,61.655728,0.103840,70.601379
L11/lightning-attn/post_attn_norm/decode,0.297,8,0.037084,0.036032,0.038016
L11/lightning-attn/post_attn_norm/prefill,30.437,28,1.087026,0.008832,1.230720
L11/lightning/chunk_simple_gla/prefill,60.298,27,2.233243,0.159584,2.546784
L11/lightning/fla_kernel/decode,1.784,8,0.222940,0.215552,0.233888
L11/lightning/fla_kernel/prefill,63.390,28,2.263946,0.265536,2.668928
L11/lightning/fla_state_load/decode,0.270,8,0.033756,0.031808,0.035072
L11/lightning/fla_state_load/prefill,1.552,28,0.055442,0.024416,0.079872
L11/lightning/fla_state_save/decode,0.273,8,0.034096,0.033568,0.035296
L11/lightning/fla_state_save/prefill,0.515,28,0.018386,0.013888,0.041216
L11/lightning/fused_recurrent_gla/decode,0.897,8,0.112140,0.106368,0.117824
L11/lightning/fused_recurrent_gla/prefill,0.124,1,0.123552,0.123552,0.123552
L11/lightning/o_norm/decode,0.214,8,0.026692,0.025216,0.032640
L11/lightning/o_norm/prefill,8.256,28,0.294867,0.027712,0.342144
L11/lightning/o_proj/decode,0.269,8,0.033672,0.031552,0.040960
L11/lightning/o_proj/prefill,129.698,28,4.632058,0.033056,5.292064
L11/lightning/qk_norm/decode,0.313,8,0.039108,0.030080,0.044480
L11/lightning/qk_norm/prefill,72.211,28,2.578957,0.025376,2.925824
L11/lightning/qkv_proj/decode,0.325,8,0.040608,0.038368,0.043616
L11/lightning/qkv_proj/prefill,384.849,28,13.744602,0.042048,15.716000
L11/lightning/rope/decode,0.378,8,0.047236,0.045184,0.050944
L11/lightning/rope/prefill,90.911,28,3.246823,0.022144,3.677856
L11/lightning/sigmoid_gate/decode,0.362,8,0.045280,0.043616,0.047232
L11/lightning/sigmoid_gate/prefill,151.399,28,5.407102,0.047040,6.175232
L12/lightning-attn/attn/decode,4.243,8,0.530384,0.508896,0.555104
L12/lightning-attn/attn/prefill,900.986,28,32.178086,0.582880,36.659584
L12/lightning-attn/input_norm/decode,0.037,8,0.004572,0.002720,0.008096
L12/lightning-attn/input_norm/prefill,8.954,28,0.319795,0.004096,0.364864
L12/lightning-attn/mlp/decode,0.831,8,0.103860,0.101760,0.107104
L12/lightning-attn/mlp/prefill,1727.726,28,61.704505,0.107104,70.560066
L12/lightning-attn/post_attn_norm/decode,0.296,8,0.037012,0.034912,0.038464
L12/lightning-attn/post_attn_norm/prefill,30.441,28,1.087174,0.009056,1.232160
L12/lightning/chunk_simple_gla/prefill,60.389,27,2.236642,0.158848,2.542272
L12/lightning/fla_kernel/decode,1.769,8,0.221116,0.216800,0.230272
L12/lightning/fla_kernel/prefill,63.455,28,2.266264,0.260640,2.647392
L12/lightning/fla_state_load/decode,0.268,8,0.033480,0.032064,0.034976
L12/lightning/fla_state_load/prefill,1.540,28,0.055014,0.023808,0.072736
L12/lightning/fla_state_save/decode,0.277,8,0.034572,0.032544,0.038912
L12/lightning/fla_state_save/prefill,0.513,28,0.018318,0.013920,0.042912
L12/lightning/fused_recurrent_gla/decode,0.886,8,0.110772,0.103776,0.115456
L12/lightning/fused_recurrent_gla/prefill,0.113,1,0.112896,0.112896,0.112896
L12/lightning/o_norm/decode,0.209,8,0.026072,0.025248,0.027200
L12/lightning/o_norm/prefill,8.241,28,0.294311,0.026688,0.341792
L12/lightning/o_proj/decode,0.269,8,0.033600,0.031936,0.038240
L12/lightning/o_proj/prefill,129.641,28,4.630039,0.033888,5.303808
L12/lightning/qk_norm/decode,0.318,8,0.039744,0.028064,0.046144
L12/lightning/qk_norm/prefill,72.224,28,2.579431,0.025440,2.925760
L12/lightning/qkv_proj/decode,0.325,8,0.040572,0.038176,0.044384
L12/lightning/qkv_proj/prefill,384.867,28,13.745250,0.041248,15.718368
L12/lightning/rope/decode,0.372,8,0.046496,0.045472,0.048000
L12/lightning/rope/prefill,90.882,28,3.245771,0.022144,3.677856
L12/lightning/sigmoid_gate/decode,0.371,8,0.046404,0.044128,0.050656
L12/lightning/sigmoid_gate/prefill,151.457,28,5.409161,0.053184,6.185280
L13/lightning-attn/attn/decode,4.266,8,0.533228,0.509792,0.603040
L13/lightning-attn/attn/prefill,901.258,28,32.187776,0.562720,36.908447
L13/lightning-attn/input_norm/decode,0.039,8,0.004936,0.003072,0.011680
L13/lightning-attn/input_norm/prefill,8.930,28,0.318912,0.003808,0.362528
L13/lightning-attn/mlp/decode,0.814,8,0.101788,0.099296,0.106976
L13/lightning-attn/mlp/prefill,1728.213,28,61.721899,0.101056,70.633789
L13/lightning-attn/post_attn_norm/decode,0.295,8,0.036876,0.035552,0.039456
L13/lightning-attn/post_attn_norm/prefill,30.441,28,1.087194,0.008064,1.230752
L13/lightning/chunk_simple_gla/prefill,60.485,27,2.240182,0.156512,2.587328
L13/lightning/fla_kernel/decode,1.786,8,0.223236,0.212384,0.272512
L13/lightning/fla_kernel/prefill,63.978,28,2.284915,0.249376,2.956672
L13/lightning/fla_state_load/decode,0.263,8,0.032932,0.031808,0.034432
L13/lightning/fla_state_load/prefill,1.830,28,0.065375,0.028064,0.324480
L13/lightning/fla_state_save/decode,0.271,8,0.033844,0.032864,0.036224
L13/lightning/fla_state_save/prefill,0.529,28,0.018891,0.013664,0.040128
L13/lightning/fused_recurrent_gla/decode,0.915,8,0.114400,0.104032,0.156576
L13/lightning/fused_recurrent_gla/prefill,0.113,1,0.112768,0.112768,0.112768
L13/lightning/o_norm/decode,0.199,8,0.024856,0.018240,0.027456
L13/lightning/o_norm/prefill,8.278,28,0.295630,0.025536,0.344384
L13/lightning/o_proj/decode,0.263,8,0.032936,0.031808,0.034816
L13/lightning/o_proj/prefill,129.663,28,4.630809,0.033344,5.293568
L13/lightning/qk_norm/decode,0.316,8,0.039444,0.029664,0.044896
L13/lightning/qk_norm/prefill,72.170,28,2.577488,0.025664,2.925248
L13/lightning/qkv_proj/decode,0.326,8,0.040740,0.037728,0.046080
L13/lightning/qkv_proj/prefill,384.761,28,13.741448,0.040512,15.724544
L13/lightning/rope/decode,0.379,8,0.047356,0.045632,0.052640
L13/lightning/rope/prefill,90.875,28,3.245537,0.022144,3.675808
L13/lightning/sigmoid_gate/decode,0.360,8,0.044952,0.042880,0.048384
L13/lightning/sigmoid_gate/prefill,151.311,28,5.403975,0.046048,6.160576
L14/lightning-attn/attn/decode,4.217,8,0.527076,0.500768,0.559456
L14/lightning-attn/attn/prefill,900.503,28,32.160829,0.575232,36.630913
L14/lightning-attn/input_norm/decode,0.053,8,0.006660,0.004000,0.017696
L14/lightning-attn/input_norm/prefill,8.915,28,0.318384,0.006112,0.362496
L14/lightning-attn/mlp/decode,0.809,8,0.101076,0.098816,0.105728
L14/lightning-attn/mlp/prefill,1726.421,28,61.657886,0.101824,70.506813
L14/lightning-attn/post_attn_norm/decode,0.292,8,0.036556,0.034784,0.038624
L14/lightning-attn/post_attn_norm/prefill,30.439,28,1.087090,0.009056,1.232736
L14/lightning/chunk_simple_gla/prefill,60.149,27,2.227757,0.214432,2.535040
L14/lightning/fla_kernel/decode,1.754,8,0.219276,0.208736,0.233600
L14/lightning/fla_kernel/prefill,63.308,28,2.261005,0.250528,2.637216
L14/lightning/fla_state_load/decode,0.265,8,0.033128,0.031840,0.034336
L14/lightning/fla_state_load/prefill,1.591,28,0.056819,0.029056,0.083808
L14/lightning/fla_state_save/decode,0.270,8,0.033752,0.032928,0.035200
L14/lightning/fla_state_save/prefill,0.519,28,0.018523,0.015424,0.041824
L14/lightning/fused_recurrent_gla/decode,0.884,8,0.110476,0.101760,0.121056
L14/lightning/fused_recurrent_gla/prefill,0.111,1,0.111392,0.111392,0.111392
L14/lightning/o_norm/decode,0.206,8,0.025800,0.024768,0.027104
L14/lightning/o_norm/prefill,8.260,28,0.295005,0.026112,0.347616
L14/lightning/o_proj/decode,0.261,8,0.032608,0.031136,0.035584
L14/lightning/o_proj/prefill,129.628,28,4.629579,0.033344,5.299648
L14/lightning/qk_norm/decode,0.323,8,0.040344,0.030304,0.046560
L14/lightning/qk_norm/prefill,72.184,28,2.577997,0.025760,2.925760
L14/lightning/qkv_proj/decode,0.328,8,0.041020,0.038944,0.047040
L14/lightning/qkv_proj/prefill,384.485,28,13.731615,0.047392,15.687680
L14/lightning/rope/decode,0.371,8,0.046340,0.045376,0.047552
L14/lightning/rope/prefill,90.864,28,3.245138,0.022112,3.684000
L14/lightning/sigmoid_gate/decode,0.358,8,0.044776,0.043360,0.048928
L14/lightning/sigmoid_gate/prefill,151.552,28,5.412554,0.046112,6.185472
L15/lightning-attn/attn/decode,4.234,8,0.529196,0.509184,0.552448
L15/lightning-attn/attn/prefill,902.032,28,32.215438,0.602496,37.059681
L15/lightning-attn/input_norm/decode,0.038,8,0.004704,0.003392,0.008288
L15/lightning-attn/input_norm/prefill,8.916,28,0.318426,0.006080,0.362560
L15/lightning-attn/mlp/decode,0.822,8,0.102808,0.099776,0.106880
L15/lightning-attn/mlp/prefill,1729.127,28,61.754542,0.103648,70.685089
L15/lightning-attn/post_attn_norm/decode,0.298,8,0.037288,0.035552,0.042976
L15/lightning-attn/post_attn_norm/prefill,30.418,28,1.086342,0.008544,1.230496
L15/lightning/chunk_simple_gla/prefill,61.269,27,2.269214,0.158720,3.516736
L15/lightning/fla_kernel/decode,1.759,8,0.219876,0.215488,0.231456
L15/lightning/fla_kernel/prefill,64.442,28,2.301494,0.271008,3.617152
L15/lightning/fla_state_load/decode,0.265,8,0.033132,0.032192,0.034336
L15/lightning/fla_state_load/prefill,1.571,28,0.056103,0.024288,0.091680
L15/lightning/fla_state_save/decode,0.275,8,0.034424,0.032544,0.037920
L15/lightning/fla_state_save/prefill,0.513,28,0.018333,0.013632,0.041248
L15/lightning/fused_recurrent_gla/decode,0.885,8,0.110580,0.101568,0.120896
L15/lightning/fused_recurrent_gla/prefill,0.157,1,0.156704,0.156704,0.156704
L15/lightning/o_norm/decode,0.208,8,0.025980,0.024864,0.027200
L15/lightning/o_norm/prefill,8.290,28,0.296080,0.027232,0.342848
L15/lightning/o_proj/decode,0.258,8,0.032232,0.031488,0.033664
L15/lightning/o_proj/prefill,129.885,28,4.638754,0.033536,5.301856
L15/lightning/qk_norm/decode,0.328,8,0.041048,0.030336,0.048832
L15/lightning/qk_norm/prefill,72.227,28,2.579536,0.025504,2.925888
L15/lightning/qkv_proj/decode,0.320,8,0.040024,0.037664,0.047552
L15/lightning/qkv_proj/prefill,384.703,28,13.739393,0.040768,15.703936
L15/lightning/rope/decode,0.379,8,0.047336,0.045856,0.049952
L15/lightning/rope/prefill,90.842,28,3.244341,0.022144,3.677856
L15/lightning/sigmoid_gate/decode,0.359,8,0.044932,0.043744,0.046912
L15/lightning/sigmoid_gate/prefill,151.404,28,5.407291,0.047808,6.173184
L16/minicpm4/attn/decode,2.228,8,0.278500,0.269344,0.294656
L16/minicpm4/attn/prefill,3999.456,28,142.837730,0.227264,361.236725
L16/minicpm4/attn_kernel/decode,0.918,8,0.114740,0.109216,0.119744
L16/minicpm4/attn_kernel/prefill,3570.136,28,127.504871,0.040416,343.805145
L16/minicpm4/input_norm/decode,0.031,8,0.003892,0.002784,0.005024
L16/minicpm4/input_norm/prefill,8.925,28,0.318760,0.004288,0.361408
L16/minicpm4/mlp/decode,0.819,8,0.102360,0.098976,0.112096
L16/minicpm4/mlp/prefill,1731.808,28,61.850292,0.106656,70.736160
L16/minicpm4/o_gate/decode,0.367,8,0.045880,0.043968,0.051488
L16/minicpm4/o_gate/prefill,150.207,28,5.364547,0.045536,6.128032
L16/minicpm4/o_proj/decode,0.266,8,0.033236,0.031136,0.037952
L16/minicpm4/o_proj/prefill,130.029,28,4.643903,0.034240,5.314048
L16/minicpm4/post_attn_norm/decode,0.287,8,0.035916,0.034272,0.039776
L16/minicpm4/post_attn_norm/prefill,30.445,28,1.087314,0.009088,1.234848
L16/minicpm4/qkv_proj/decode,0.282,8,0.035276,0.033856,0.038432
L16/minicpm4/qkv_proj/prefill,148.885,28,5.317335,0.038048,6.067904
L17/minicpm4/attn/decode,2.078,8,0.259696,0.252896,0.269600
L17/minicpm4/attn/prefill,4000.597,28,142.878462,0.233312,362.673431
L17/minicpm4/attn_kernel/decode,0.790,8,0.098740,0.092320,0.104352
L17/minicpm4/attn_kernel/prefill,3571.638,28,127.558503,0.040032,345.169342
L17/minicpm4/input_norm/decode,0.036,8,0.004528,0.003136,0.008064
L17/minicpm4/input_norm/prefill,8.946,28,0.319489,0.004096,0.362624
L17/minicpm4/mlp/decode,0.806,8,0.100748,0.098496,0.105984
L17/minicpm4/mlp/prefill,1733.108,28,61.896717,0.101504,70.765884
L17/minicpm4/o_gate/decode,0.353,8,0.044180,0.042016,0.048064
L17/minicpm4/o_gate/prefill,149.756,28,5.348416,0.044320,6.123936
L17/minicpm4/o_proj/decode,0.260,8,0.032444,0.031104,0.036480
L17/minicpm4/o_proj/prefill,130.067,28,4.645251,0.032640,5.313024
L17/minicpm4/post_attn_norm/decode,0.277,8,0.034656,0.033440,0.036576
L17/minicpm4/post_attn_norm/prefill,30.465,28,1.088022,0.010400,1.232768
L17/minicpm4/qkv_proj/decode,0.279,8,0.034840,0.033024,0.037344
L17/minicpm4/qkv_proj/prefill,148.977,28,5.320619,0.042752,6.078624
L18/lightning-attn/attn/decode,4.345,8,0.543072,0.518912,0.572960
L18/lightning-attn/attn/prefill,903.376,28,32.263412,0.596480,36.939137
L18/lightning-attn/input_norm/decode,0.042,8,0.005276,0.003808,0.009088
L18/lightning-attn/input_norm/prefill,8.928,28,0.318841,0.004416,0.362496
L18/lightning-attn/mlp/decode,0.811,8,0.101324,0.098304,0.106112
L18/lightning-attn/mlp/prefill,1733.189,28,61.899598,0.104256,70.963043
L18/lightning-attn/post_attn_norm/decode,0.302,8,0.037696,0.035968,0.039616
L18/lightning-attn/post_attn_norm/prefill,30.454,28,1.087635,0.008672,1.232800
L18/lightning/chunk_simple_gla/prefill,60.571,27,2.243364,0.166336,2.533248
L18/lightning/fla_kernel/decode,1.868,8,0.233520,0.225920,0.244960
L18/lightning/fla_kernel/prefill,64.506,28,2.303791,0.276832,2.953632
L18/lightning/fla_state_load/decode,0.292,8,0.036472,0.035264,0.038528
L18/lightning/fla_state_load/prefill,2.162,28,0.077223,0.030688,0.316832
L18/lightning/fla_state_save/decode,0.283,8,0.035348,0.034368,0.036320
L18/lightning/fla_state_save/prefill,0.518,28,0.018517,0.015264,0.042208
L18/lightning/fused_recurrent_gla/decode,0.956,8,0.119520,0.112960,0.127520
L18/lightning/fused_recurrent_gla/prefill,0.126,1,0.126432,0.126432,0.126432
L18/lightning/o_norm/decode,0.217,8,0.027148,0.025120,0.032352
L18/lightning/o_norm/prefill,8.229,28,0.293877,0.027744,0.340064
L18/lightning/o_proj/decode,0.279,8,0.034824,0.031328,0.040416
L18/lightning/o_proj/prefill,130.134,28,4.647640,0.034560,5.332384
L18/lightning/qk_norm/decode,0.316,8,0.039512,0.029728,0.047424
L18/lightning/qk_norm/prefill,72.121,28,2.575754,0.025600,2.923808
L18/lightning/qkv_proj/decode,0.307,8,0.038376,0.037280,0.040576
L18/lightning/qkv_proj/prefill,385.797,28,13.778462,0.038976,15.759360
L18/lightning/rope/decode,0.380,8,0.047460,0.046400,0.049056
L18/lightning/rope/prefill,90.970,28,3.248919,0.020096,3.684000
L18/lightning/sigmoid_gate/decode,0.369,8,0.046108,0.044192,0.049568
L18/lightning/sigmoid_gate/prefill,151.395,28,5.406973,0.047072,6.164704
L19/lightning-attn/attn/decode,4.391,8,0.548900,0.506112,0.579232
L19/lightning-attn/attn/prefill,901.453,28,32.194734,0.570240,36.671680
L19/lightning-attn/input_norm/decode,0.041,8,0.005076,0.003744,0.008608
L19/lightning-attn/input_norm/prefill,8.921,28,0.318591,0.006144,0.362624
L19/lightning-attn/mlp/decode,0.816,8,0.101996,0.100416,0.105056
L19/lightning-attn/mlp/prefill,1729.317,28,61.761307,0.103584,70.666435
