timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W]
2026/04/02 10:05:35.366, 80867 MiB, 97887 MiB, 0 %, 0 %, 97.95 W
2026/04/02 10:05:37.371, 80867 MiB, 97887 MiB, 0 %, 0 %, 96.16 W
2026/04/02 10:05:39.372, 84967 MiB, 97887 MiB, 100 %, 31 %, 352.54 W
2026/04/02 10:05:41.372, 85227 MiB, 97887 MiB, 100 %, 23 %, 349.98 W
2026/04/02 10:05:43.372, 85227 MiB, 97887 MiB, 100 %, 31 %, 349.97 W
2026/04/02 10:05:45.372, 85227 MiB, 97887 MiB, 100 %, 21 %, 350.02 W
2026/04/02 10:05:47.372, 85227 MiB, 97887 MiB, 100 %, 31 %, 350.01 W
2026/04/02 10:05:49.373, 80887 MiB, 97887 MiB, 0 %, 0 %, 207.05 W
2026/04/02 10:05:51.373, 85247 MiB, 97887 MiB, 100 %, 32 %, 350.05 W
2026/04/02 10:05:53.373, 85247 MiB, 97887 MiB, 100 %, 29 %, 350.05 W
2026/04/02 10:05:55.373, 85247 MiB, 97887 MiB, 100 %, 31 %, 349.99 W
2026/04/02 10:05:57.373, 85249 MiB, 97887 MiB, 100 %, 31 %, 349.96 W
2026/04/02 10:05:59.374, 85249 MiB, 97887 MiB, 100 %, 31 %, 349.99 W
2026/04/02 10:06:01.374, 85249 MiB, 97887 MiB, 100 %, 31 %, 349.97 W
2026/04/02 10:06:03.374, 85249 MiB, 97887 MiB, 100 %, 7 %, 349.96 W
2026/04/02 10:06:05.374, 85249 MiB, 97887 MiB, 100 %, 32 %, 349.99 W
2026/04/02 10:06:07.374, 85249 MiB, 97887 MiB, 100 %, 31 %, 349.91 W
2026/04/02 10:06:09.374, 85249 MiB, 97887 MiB, 100 %, 21 %, 349.99 W
2026/04/02 10:06:11.374, 85249 MiB, 97887 MiB, 100 %, 32 %, 350.02 W
2026/04/02 10:06:13.375, 85249 MiB, 97887 MiB, 100 %, 31 %, 349.98 W
2026/04/02 10:06:15.375, 85249 MiB, 97887 MiB, 100 %, 29 %, 349.98 W
2026/04/02 10:06:17.375, 85249 MiB, 97887 MiB, 100 %, 10 %, 350.00 W
2026/04/02 10:06:19.375, 85249 MiB, 97887 MiB, 100 %, 32 %, 349.96 W
2026/04/02 10:06:21.375, 85249 MiB, 97887 MiB, 100 %, 32 %, 350.00 W
2026/04/02 10:06:23.376, 85249 MiB, 97887 MiB, 100 %, 32 %, 349.97 W
2026/04/02 10:06:25.376, 85249 MiB, 97887 MiB, 100 %, 20 %, 350.00 W
2026/04/02 10:06:27.376, 85249 MiB, 97887 MiB, 100 %, 7 %, 349.99 W
2026/04/02 10:06:29.376, 85249 MiB, 97887 MiB, 100 %, 29 %, 349.99 W
2026/04/02 10:06:31.376, 85249 MiB, 97887 MiB, 100 %, 25 %, 350.00 W
2026/04/02 10:06:33.377, 85249 MiB, 97887 MiB, 100 %, 0 %, 350.00 W
2026/04/02 10:06:35.377, 85249 MiB, 97887 MiB, 100 %, 24 %, 349.99 W
2026/04/02 10:06:37.377, 85249 MiB, 97887 MiB, 100 %, 30 %, 350.00 W
2026/04/02 10:06:39.377, 85249 MiB, 97887 MiB, 100 %, 31 %, 349.96 W
2026/04/02 10:06:41.377, 85249 MiB, 97887 MiB, 100 %, 32 %, 349.99 W
2026/04/02 10:06:43.378, 85249 MiB, 97887 MiB, 100 %, 29 %, 350.01 W
2026/04/02 10:06:45.378, 85249 MiB, 97887 MiB, 100 %, 29 %, 349.94 W
2026/04/02 10:06:47.378, 85249 MiB, 97887 MiB, 100 %, 20 %, 349.99 W
2026/04/02 10:06:49.378, 85249 MiB, 97887 MiB, 100 %, 25 %, 349.98 W
2026/04/02 10:06:51.378, 85249 MiB, 97887 MiB, 100 %, 74 %, 349.68 W
2026/04/02 10:06:53.379, 85249 MiB, 97887 MiB, 100 %, 32 %, 349.99 W
2026/04/02 10:06:55.379, 85249 MiB, 97887 MiB, 100 %, 21 %, 350.00 W
2026/04/02 10:06:57.379, 85249 MiB, 97887 MiB, 100 %, 30 %, 349.96 W
2026/04/02 10:06:59.379, 85249 MiB, 97887 MiB, 100 %, 29 %, 349.93 W
2026/04/02 10:07:01.379, 85249 MiB, 97887 MiB, 100 %, 1 %, 349.99 W
2026/04/02 10:07:03.379, 85249 MiB, 97887 MiB, 100 %, 12 %, 350.07 W
2026/04/02 10:07:05.380, 85249 MiB, 97887 MiB, 100 %, 0 %, 349.98 W
2026/04/02 10:07:07.380, 85249 MiB, 97887 MiB, 100 %, 31 %, 349.98 W
2026/04/02 10:07:09.380, 85249 MiB, 97887 MiB, 100 %, 28 %, 350.10 W
2026/04/02 10:07:11.380, 85249 MiB, 97887 MiB, 100 %, 73 %, 349.95 W
2026/04/02 10:07:13.381, 85249 MiB, 97887 MiB, 100 %, 32 %, 349.99 W
2026/04/02 10:07:15.382, 85249 MiB, 97887 MiB, 100 %, 21 %, 349.99 W
2026/04/02 10:07:17.382, 85249 MiB, 97887 MiB, 100 %, 32 %, 350.01 W
2026/04/02 10:07:19.382, 85249 MiB, 97887 MiB, 100 %, 13 %, 349.99 W
2026/04/02 10:07:21.382, 85249 MiB, 97887 MiB, 100 %, 0 %, 350.01 W
2026/04/02 10:07:23.382, 85249 MiB, 97887 MiB, 100 %, 0 %, 349.91 W
2026/04/02 10:07:25.382, 85249 MiB, 97887 MiB, 100 %, 3 %, 350.02 W
2026/04/02 10:07:27.383, 85249 MiB, 97887 MiB, 100 %, 20 %, 349.96 W
2026/04/02 10:07:29.383, 85249 MiB, 97887 MiB, 100 %, 31 %, 349.96 W
2026/04/02 10:07:31.383, 85249 MiB, 97887 MiB, 100 %, 32 %, 349.98 W
2026/04/02 10:07:33.383, 85249 MiB, 97887 MiB, 100 %, 26 %, 350.01 W
2026/04/02 10:07:35.383, 85249 MiB, 97887 MiB, 100 %, 30 %, 350.03 W
2026/04/02 10:07:37.383, 85249 MiB, 97887 MiB, 100 %, 1 %, 349.97 W
2026/04/02 10:07:39.384, 85249 MiB, 97887 MiB, 100 %, 8 %, 350.01 W
2026/04/02 10:07:41.384, 85249 MiB, 97887 MiB, 100 %, 23 %, 349.98 W
2026/04/02 10:07:43.384, 85249 MiB, 97887 MiB, 100 %, 29 %, 350.08 W
2026/04/02 10:07:45.384, 85249 MiB, 97887 MiB, 100 %, 29 %, 349.96 W
2026/04/02 10:07:47.384, 85249 MiB, 97887 MiB, 100 %, 23 %, 349.97 W
2026/04/02 10:07:49.385, 85249 MiB, 97887 MiB, 100 %, 20 %, 350.01 W
2026/04/02 10:07:51.385, 85249 MiB, 97887 MiB, 100 %, 27 %, 349.97 W
2026/04/02 10:07:53.385, 85249 MiB, 97887 MiB, 100 %, 28 %, 350.00 W
2026/04/02 10:07:55.385, 85249 MiB, 97887 MiB, 100 %, 31 %, 350.00 W
2026/04/02 10:07:57.385, 85249 MiB, 97887 MiB, 100 %, 32 %, 349.98 W
2026/04/02 10:07:59.386, 85249 MiB, 97887 MiB, 100 %, 32 %, 350.00 W
2026/04/02 10:08:01.386, 85249 MiB, 97887 MiB, 100 %, 18 %, 349.93 W
2026/04/02 10:08:03.386, 85249 MiB, 97887 MiB, 100 %, 25 %, 349.97 W
2026/04/02 10:08:05.386, 85249 MiB, 97887 MiB, 100 %, 18 %, 350.00 W
2026/04/02 10:08:07.386, 85249 MiB, 97887 MiB, 100 %, 1 %, 349.96 W
2026/04/02 10:08:09.387, 85251 MiB, 97887 MiB, 100 %, 34 %, 349.97 W
2026/04/02 10:08:11.387, 85251 MiB, 97887 MiB, 100 %, 73 %, 349.98 W
2026/04/02 10:08:13.387, 85251 MiB, 97887 MiB, 100 %, 28 %, 349.97 W
2026/04/02 10:08:15.387, 85251 MiB, 97887 MiB, 100 %, 27 %, 349.99 W
2026/04/02 10:08:17.387, 85251 MiB, 97887 MiB, 100 %, 32 %, 349.99 W
2026/04/02 10:08:19.388, 85251 MiB, 97887 MiB, 100 %, 32 %, 349.99 W
2026/04/02 10:08:21.388, 85251 MiB, 97887 MiB, 100 %, 72 %, 350.30 W
2026/04/02 10:08:23.388, 85251 MiB, 97887 MiB, 99 %, 57 %, 349.99 W
