timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W]
2026/04/02 10:16:47.463, 81313 MiB, 97887 MiB, 0 %, 0 %, 165.25 W
2026/04/02 10:16:49.468, 81475 MiB, 97887 MiB, 0 %, 0 %, 127.04 W
2026/04/02 10:16:51.468, 81475 MiB, 97887 MiB, 0 %, 0 %, 109.98 W
2026/04/02 10:16:53.468, 85575 MiB, 97887 MiB, 100 %, 28 %, 350.05 W
2026/04/02 10:16:55.469, 85835 MiB, 97887 MiB, 100 %, 25 %, 349.97 W
2026/04/02 10:16:57.469, 85835 MiB, 97887 MiB, 100 %, 33 %, 350.01 W
2026/04/02 10:16:59.469, 85835 MiB, 97887 MiB, 100 %, 8 %, 350.01 W
2026/04/02 10:17:01.469, 85835 MiB, 97887 MiB, 100 %, 1 %, 349.99 W
2026/04/02 10:17:03.469, 81475 MiB, 97887 MiB, 0 %, 0 %, 282.10 W
2026/04/02 10:17:05.470, 85575 MiB, 97887 MiB, 100 %, 25 %, 351.44 W
2026/04/02 10:17:07.470, 85835 MiB, 97887 MiB, 100 %, 25 %, 350.00 W
2026/04/02 10:17:09.470, 85835 MiB, 97887 MiB, 100 %, 29 %, 349.96 W
2026/04/02 10:17:11.470, 85837 MiB, 97887 MiB, 100 %, 7 %, 350.00 W
2026/04/02 10:17:13.471, 85837 MiB, 97887 MiB, 100 %, 33 %, 349.99 W
2026/04/02 10:17:15.471, 85837 MiB, 97887 MiB, 100 %, 19 %, 349.92 W
2026/04/02 10:17:17.471, 85837 MiB, 97887 MiB, 100 %, 22 %, 349.97 W
2026/04/02 10:17:19.471, 85837 MiB, 97887 MiB, 100 %, 20 %, 349.97 W
2026/04/02 10:17:21.471, 85837 MiB, 97887 MiB, 100 %, 32 %, 349.99 W
2026/04/02 10:17:23.472, 85837 MiB, 97887 MiB, 100 %, 22 %, 349.96 W
2026/04/02 10:17:25.472, 85837 MiB, 97887 MiB, 100 %, 28 %, 350.00 W
2026/04/02 10:17:27.472, 85837 MiB, 97887 MiB, 100 %, 28 %, 350.00 W
2026/04/02 10:17:29.472, 85837 MiB, 97887 MiB, 100 %, 14 %, 349.97 W
2026/04/02 10:17:31.472, 85837 MiB, 97887 MiB, 100 %, 28 %, 350.02 W
2026/04/02 10:17:33.473, 85837 MiB, 97887 MiB, 100 %, 7 %, 349.97 W
2026/04/02 10:17:35.473, 85837 MiB, 97887 MiB, 100 %, 32 %, 349.99 W
2026/04/02 10:17:37.473, 85837 MiB, 97887 MiB, 100 %, 25 %, 349.98 W
2026/04/02 10:17:39.473, 85837 MiB, 97887 MiB, 100 %, 28 %, 350.03 W
2026/04/02 10:17:41.473, 85837 MiB, 97887 MiB, 100 %, 28 %, 350.01 W
2026/04/02 10:17:43.474, 85837 MiB, 97887 MiB, 100 %, 30 %, 350.03 W
2026/04/02 10:17:45.474, 85837 MiB, 97887 MiB, 100 %, 32 %, 350.01 W
2026/04/02 10:17:47.474, 85837 MiB, 97887 MiB, 100 %, 21 %, 349.96 W
2026/04/02 10:17:49.474, 85837 MiB, 97887 MiB, 100 %, 28 %, 350.03 W
2026/04/02 10:17:51.475, 85837 MiB, 97887 MiB, 100 %, 28 %, 349.99 W
2026/04/02 10:17:53.475, 85837 MiB, 97887 MiB, 100 %, 32 %, 350.00 W
2026/04/02 10:17:55.475, 85837 MiB, 97887 MiB, 100 %, 33 %, 350.32 W
2026/04/02 10:17:57.475, 85837 MiB, 97887 MiB, 100 %, 2 %, 350.00 W
2026/04/02 10:17:59.475, 85837 MiB, 97887 MiB, 100 %, 29 %, 350.00 W
2026/04/02 10:18:01.475, 85837 MiB, 97887 MiB, 100 %, 30 %, 349.98 W
2026/04/02 10:18:03.476, 85837 MiB, 97887 MiB, 100 %, 33 %, 349.98 W
2026/04/02 10:18:05.476, 85837 MiB, 97887 MiB, 100 %, 11 %, 349.98 W
2026/04/02 10:18:07.476, 85837 MiB, 97887 MiB, 100 %, 33 %, 349.99 W
2026/04/02 10:18:09.476, 85837 MiB, 97887 MiB, 100 %, 8 %, 350.02 W
2026/04/02 10:18:11.476, 85837 MiB, 97887 MiB, 100 %, 24 %, 349.86 W
2026/04/02 10:18:13.477, 85837 MiB, 97887 MiB, 100 %, 28 %, 350.00 W
2026/04/02 10:18:15.477, 85837 MiB, 97887 MiB, 100 %, 30 %, 349.98 W
2026/04/02 10:18:17.477, 85837 MiB, 97887 MiB, 100 %, 31 %, 349.96 W
2026/04/02 10:18:19.477, 85837 MiB, 97887 MiB, 100 %, 20 %, 350.00 W
2026/04/02 10:18:21.478, 85837 MiB, 97887 MiB, 100 %, 32 %, 349.98 W
2026/04/02 10:18:23.479, 85837 MiB, 97887 MiB, 100 %, 29 %, 349.98 W
2026/04/02 10:18:25.479, 85837 MiB, 97887 MiB, 100 %, 31 %, 350.00 W
2026/04/02 10:18:27.480, 85837 MiB, 97887 MiB, 100 %, 26 %, 350.00 W
2026/04/02 10:18:29.481, 85837 MiB, 97887 MiB, 100 %, 33 %, 350.00 W
2026/04/02 10:18:31.483, 85837 MiB, 97887 MiB, 100 %, 23 %, 349.97 W
2026/04/02 10:18:33.484, 85837 MiB, 97887 MiB, 100 %, 32 %, 350.01 W
2026/04/02 10:18:35.484, 85837 MiB, 97887 MiB, 100 %, 33 %, 349.98 W
2026/04/02 10:18:37.484, 85837 MiB, 97887 MiB, 100 %, 33 %, 350.02 W
2026/04/02 10:18:39.484, 85837 MiB, 97887 MiB, 100 %, 31 %, 350.01 W
2026/04/02 10:18:41.484, 85837 MiB, 97887 MiB, 100 %, 28 %, 349.98 W
2026/04/02 10:18:43.485, 85837 MiB, 97887 MiB, 100 %, 33 %, 350.02 W
2026/04/02 10:18:45.485, 85837 MiB, 97887 MiB, 100 %, 31 %, 350.00 W
2026/04/02 10:18:47.485, 85837 MiB, 97887 MiB, 100 %, 26 %, 350.01 W
2026/04/02 10:18:49.485, 85837 MiB, 97887 MiB, 100 %, 33 %, 350.01 W
2026/04/02 10:18:51.485, 85837 MiB, 97887 MiB, 100 %, 1 %, 350.02 W
2026/04/02 10:18:53.485, 85837 MiB, 97887 MiB, 100 %, 19 %, 349.99 W
2026/04/02 10:18:55.486, 85837 MiB, 97887 MiB, 100 %, 6 %, 350.04 W
2026/04/02 10:18:57.486, 85837 MiB, 97887 MiB, 100 %, 32 %, 350.02 W
2026/04/02 10:18:59.486, 85837 MiB, 97887 MiB, 100 %, 0 %, 349.98 W
2026/04/02 10:19:01.486, 85837 MiB, 97887 MiB, 100 %, 0 %, 349.98 W
2026/04/02 10:19:03.486, 85837 MiB, 97887 MiB, 100 %, 20 %, 350.03 W
2026/04/02 10:19:05.487, 85837 MiB, 97887 MiB, 100 %, 28 %, 350.00 W
2026/04/02 10:19:07.487, 85837 MiB, 97887 MiB, 100 %, 1 %, 349.98 W
2026/04/02 10:19:09.487, 85837 MiB, 97887 MiB, 100 %, 9 %, 349.98 W
