key,total_ms,count,avg_ms,min_ms,max_ms
L00/minicpm4/attn/decode,33.154,24,1.381403,0.320288,24.073153
L00/minicpm4/attn/prefill,20079.944,124,161.935035,0.509888,409.862885
L00/minicpm4/attn_kernel/decode,4.867,24,0.202791,0.128256,1.225024
L00/minicpm4/attn_kernel/prefill,18010.737,124,145.247878,0.206720,392.325592
L00/minicpm4/input_norm/decode,1.367,24,0.056961,0.028576,0.456800
L00/minicpm4/input_norm/prefill,43.473,124,0.350586,0.060480,0.370208
L00/minicpm4/mlp/decode,3.385,24,0.141045,0.099936,0.588224
L00/minicpm4/mlp/prefill,8360.474,124,67.423176,0.115424,71.173088
L00/minicpm4/o_gate/decode,3.802,24,0.158408,0.050176,2.434976
L00/minicpm4/o_gate/prefill,726.851,124,5.861703,0.077312,6.497824
L00/minicpm4/o_proj/decode,1.125,24,0.046879,0.032384,0.084960
L00/minicpm4/o_proj/prefill,629.717,124,5.078363,0.050752,5.703072
L00/minicpm4/post_attn_norm/decode,5.285,24,0.220224,0.037984,4.257440
L00/minicpm4/post_attn_norm/prefill,146.984,124,1.185353,0.035904,1.232800
L00/minicpm4/qkv_proj/decode,22.144,24,0.922649,0.048800,20.245983
L00/minicpm4/qkv_proj/prefill,711.921,124,5.741296,0.103168,6.074944
L01/lightning-attn/attn/decode,24.109,24,1.004555,0.592160,6.160896
L01/lightning-attn/attn/prefill,4466.086,124,36.016825,0.850016,49.447361
L01/lightning-attn/input_norm/decode,0.223,24,0.009291,0.003840,0.040064
L01/lightning-attn/input_norm/prefill,43.029,124,0.347009,0.006144,0.366592
L01/lightning-attn/mlp/decode,2.875,24,0.119808,0.099456,0.157632
L01/lightning-attn/mlp/prefill,8450.862,124,68.152114,0.114592,71.893951
L01/lightning-attn/post_attn_norm/decode,0.933,24,0.038888,0.009120,0.049632
L01/lightning-attn/post_attn_norm/prefill,147.015,124,1.185608,0.026880,1.341280
L01/lightning/chunk_simple_gla/prefill,334.295,122,2.740125,0.484512,14.194848
L01/lightning/fla_kernel/decode,14.375,24,0.598947,0.270240,4.088768
L01/lightning/fla_kernel/prefill,356.905,124,2.878266,0.444800,14.293472
L01/lightning/fla_state_load/decode,2.600,24,0.108328,0.041760,0.312384
L01/lightning/fla_state_load/prefill,11.072,124,0.089293,0.031392,1.738848
L01/lightning/fla_state_save/decode,1.722,24,0.071749,0.038688,0.245472
L01/lightning/fla_state_save/prefill,2.301,124,0.018559,0.013440,0.083776
L01/lightning/fused_recurrent_gla/decode,9.151,24,0.381281,0.144096,3.472448
L01/lightning/fused_recurrent_gla/prefill,1.715,2,0.857696,0.231936,1.483456
L01/lightning/o_norm/decode,0.578,24,0.024104,0.004704,0.053824
L01/lightning/o_norm/prefill,41.403,124,0.333894,0.034240,0.537344
L01/lightning/o_proj/decode,0.983,24,0.040941,0.032672,0.069056
L01/lightning/o_proj/prefill,640.112,124,5.162190,0.041312,7.321088
L01/lightning/qk_norm/decode,1.097,24,0.045704,0.032416,0.068416
L01/lightning/qk_norm/prefill,351.653,124,2.835914,0.025632,3.697696
L01/lightning/qkv_proj/decode,1.038,24,0.043239,0.032640,0.060160
L01/lightning/qkv_proj/prefill,1886.525,124,15.213913,0.047040,18.966560
L01/lightning/rope/decode,3.060,24,0.127504,0.052320,1.591040
L01/lightning/rope/prefill,439.141,124,3.541462,0.022144,4.724352
L01/lightning/sigmoid_gate/decode,1.329,24,0.055369,0.040608,0.124544
L01/lightning/sigmoid_gate/prefill,749.516,124,6.044486,0.059520,8.684032
L02/lightning-attn/attn/decode,14.226,24,0.592732,0.550176,0.708256
L02/lightning-attn/attn/prefill,4397.288,124,35.462003,0.635712,37.168575
