# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      0      0      0      0      0      0 
    0     44     30      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0    100     31      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     23      0      0      0      0 
    0    100     25      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100     33      0      0      0      0 
    0    100     19      0      0      0      0 
    0    100      8      0      0      0      0 
    0    100     33      0      0      0      0 
    0    100      1      0      0      0      0 
    0    100      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100     25      0      0      0      0 
    0    100     26      0      0      0      0 
    0    100     25      0      0      0      0 
    0    100     33      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100      7      0      0      0      0 
    0    100      7      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100     33      0      0      0      0 
    0    100     33      0      0      0      0 
    0    100     19      0      0      0      0 
    0    100     30      0      0      0      0 
    0    100     22      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     20      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     31      0      0      0      0 
    0    100     22      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100     14      0      0      0      0 
    0    100     29      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100     28      0      0      0      0 
    0    100      7      0      0      0      0 
    0    100      7      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     23      0      0      0      0 
    0    100     25      0      0      0      0 
    0    100     27      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     25      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     22      0      0      0      0 
    0    100     30      0      0      0      0 
    0    100     22      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100      1      0      0      0      0 
    0    100     21      0      0      0      0 
    0    100      7      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     25      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     14      0      0      0      0 
    0    100     33      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100      2      0      0      0      0 
    0    100     20      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100     22      0      0      0      0 
    0     99     25      0      0      0      0 
    0    100     33      0      0      0      0 
    0    100     13      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     27      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     27      0      0      0      0 
    0    100     27      0      0      0      0 
    0    100     30      0      0      0      0 
    0    100     17      0      0      0      0 
    0    100     31      0      0      0      0 
    0    100     23      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100     32      0      0      0      0 
    0    100     24      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     33      0      0      0      0 
    0    100     31      0      0      0      0 
    0    100     30      0      0      0      0 
    0    100     23      0      0      0      0 
    0    100     26      0      0      0      0 
    0    100     24      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     34      0      0      0      0 
    0    100     25      0      0      0      0 
    0    100     15      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100     15      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100     20      0      0      0      0 
    0    100     31      0      0      0      0 
    0    100     29      0      0      0      0 
    0    100     11      0      0      0      0 
    0    100     24      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     31      0      0      0      0 
    0    100     25      0      0      0      0 
    0    100     22      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     25      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     18      0      0      0      0 
    0    100      2      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     15      0      0      0      0 
    0    100     26      0      0      0      0 
    0    100     32      0      0      0      0 
    0    100     28      0      0      0      0 
    0    100     27      0      0      0      0 
    0    100      0      0      0      0      0 
