key,total_ms,count,avg_ms,min_ms,max_ms
L12/lightning/sigmoid_gate/decode,0.322,8,0.040260,0.038336,0.042176
L12/lightning/sigmoid_gate/prefill,143.196,28,5.114154,0.042592,6.159136
L13/lightning-attn/attn/decode,3.768,8,0.470948,0.441984,0.539840
L13/lightning-attn/attn/prefill,854.059,28,30.502107,0.534464,36.031902
L13/lightning-attn/input_norm/decode,0.032,8,0.004028,0.003840,0.004096
L13/lightning-attn/input_norm/prefill,8.722,28,0.311513,0.003840,0.364832
L13/lightning-attn/mlp/decode,0.798,8,0.099720,0.097120,0.103776
L13/lightning-attn/mlp/prefill,1622.227,28,57.936696,0.100448,68.840767
L13/lightning-attn/post_attn_norm/decode,0.262,8,0.032808,0.031200,0.035904
L13/lightning-attn/post_attn_norm/prefill,29.790,28,1.063922,0.008416,1.232480
L13/lightning/chunk_simple_gla/prefill,57.002,26,2.192366,0.141952,2.447424
L13/lightning/fla_kernel/decode,1.603,8,0.200384,0.182464,0.245056
L13/lightning/fla_kernel/prefill,60.064,28,2.145144,0.237536,2.549120
L13/lightning/fla_state_load/decode,0.238,8,0.029736,0.026752,0.033984
L13/lightning/fla_state_load/prefill,1.457,28,0.052022,0.023104,0.087008
L13/lightning/fla_state_save/decode,0.240,8,0.029980,0.028864,0.032800
L13/lightning/fla_state_save/prefill,0.517,28,0.018449,0.013600,0.038176
L13/lightning/fused_recurrent_gla/decode,0.824,8,0.103040,0.090272,0.141248
L13/lightning/fused_recurrent_gla/prefill,0.211,2,0.105568,0.105056,0.106080
L13/lightning/o_norm/decode,0.188,8,0.023508,0.022048,0.026848
L13/lightning/o_norm/prefill,8.317,28,0.297029,0.024832,0.346240
L13/lightning/o_proj/decode,0.247,8,0.030884,0.028832,0.035232
L13/lightning/o_proj/prefill,121.822,28,4.350787,0.032768,5.181600
L13/lightning/qk_norm/decode,0.276,8,0.034480,0.025248,0.040032
L13/lightning/qk_norm/prefill,69.727,28,2.490262,0.025632,2.905184
L13/lightning/qkv_proj/decode,0.306,8,0.038256,0.034816,0.040928
L13/lightning/qkv_proj/prefill,361.797,28,12.921325,0.039424,15.384160
L13/lightning/rope/decode,0.330,8,0.041240,0.039648,0.042944
L13/lightning/rope/prefill,89.059,28,3.180667,0.020128,3.688096
