timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W]
2026/04/02 11:00:14.636, 81175 MiB, 97887 MiB, 0 %, 0 %, 152.35 W
2026/04/02 11:00:16.639, 81337 MiB, 97887 MiB, 0 %, 0 %, 130.36 W
2026/04/02 11:00:18.640, 89359 MiB, 97887 MiB, 16 %, 2 %, 121.91 W
2026/04/02 11:00:20.640, 91401 MiB, 97887 MiB, 100 %, 18 %, 350.40 W
2026/04/02 11:00:22.640, 91921 MiB, 97887 MiB, 98 %, 33 %, 351.55 W
2026/04/02 11:00:24.640, 92441 MiB, 97887 MiB, 100 %, 25 %, 349.92 W
2026/04/02 11:00:26.641, 92441 MiB, 97887 MiB, 99 %, 34 %, 349.68 W
2026/04/02 11:00:28.641, 82317 MiB, 97887 MiB, 100 %, 29 %, 349.80 W
2026/04/02 11:00:30.641, 0 MiB, 97887 MiB, 32 %, 18 %, 166.30 W
2026/04/02 11:00:32.642, 0 MiB, 97887 MiB, 0 %, 0 %, 138.10 W
2026/04/02 11:00:34.643, 0 MiB, 97887 MiB, 0 %, 0 %, 72.44 W
2026/04/02 11:00:36.643, 0 MiB, 97887 MiB, 0 %, 0 %, 69.69 W
2026/04/02 11:00:38.644, 0 MiB, 97887 MiB, 0 %, 0 %, 42.17 W
2026/04/02 11:00:40.644, 0 MiB, 97887 MiB, 0 %, 0 %, 29.23 W
2026/04/02 11:00:42.645, 0 MiB, 97887 MiB, 0 %, 0 %, 29.02 W
2026/04/02 11:00:44.645, 0 MiB, 97887 MiB, 0 %, 0 %, 28.55 W
2026/04/02 11:00:46.646, 0 MiB, 97887 MiB, 0 %, 0 %, 28.16 W
2026/04/02 11:00:48.647, 0 MiB, 97887 MiB, 0 %, 0 %, 27.85 W
2026/04/02 11:00:50.648, 0 MiB, 97887 MiB, 0 %, 0 %, 27.56 W
2026/04/02 11:00:52.648, 0 MiB, 97887 MiB, 0 %, 0 %, 27.44 W
2026/04/02 11:00:54.649, 0 MiB, 97887 MiB, 0 %, 0 %, 27.57 W
2026/04/02 11:00:56.650, 0 MiB, 97887 MiB, 0 %, 0 %, 27.82 W
2026/04/02 11:00:58.651, 0 MiB, 97887 MiB, 0 %, 0 %, 26.94 W
2026/04/02 11:01:00.652, 0 MiB, 97887 MiB, 0 %, 0 %, 26.83 W
2026/04/02 11:01:02.652, 0 MiB, 97887 MiB, 0 %, 0 %, 27.10 W
2026/04/02 11:01:04.653, 0 MiB, 97887 MiB, 0 %, 0 %, 27.00 W
2026/04/02 11:01:06.654, 0 MiB, 97887 MiB, 0 %, 0 %, 26.92 W
2026/04/02 11:01:08.655, 0 MiB, 97887 MiB, 0 %, 0 %, 26.63 W
2026/04/02 11:01:10.655, 0 MiB, 97887 MiB, 0 %, 0 %, 26.77 W
2026/04/02 11:01:12.656, 0 MiB, 97887 MiB, 0 %, 0 %, 26.75 W
2026/04/02 11:01:14.657, 0 MiB, 97887 MiB, 0 %, 0 %, 26.67 W
2026/04/02 11:01:16.658, 0 MiB, 97887 MiB, 0 %, 0 %, 26.34 W
2026/04/02 11:01:18.659, 0 MiB, 97887 MiB, 0 %, 0 %, 26.34 W
2026/04/02 11:01:20.660, 0 MiB, 97887 MiB, 0 %, 0 %, 26.12 W
2026/04/02 11:01:22.660, 0 MiB, 97887 MiB, 0 %, 0 %, 26.21 W
2026/04/02 11:01:24.661, 0 MiB, 97887 MiB, 0 %, 0 %, 25.78 W
2026/04/02 11:01:26.662, 0 MiB, 97887 MiB, 0 %, 0 %, 25.82 W
2026/04/02 11:01:28.663, 0 MiB, 97887 MiB, 0 %, 0 %, 26.15 W
2026/04/02 11:01:30.664, 0 MiB, 97887 MiB, 0 %, 0 %, 26.00 W
2026/04/02 11:01:32.665, 0 MiB, 97887 MiB, 0 %, 0 %, 25.78 W
2026/04/02 11:01:34.665, 0 MiB, 97887 MiB, 0 %, 0 %, 25.64 W
2026/04/02 11:01:36.666, 0 MiB, 97887 MiB, 0 %, 0 %, 25.63 W
2026/04/02 11:01:38.667, 0 MiB, 97887 MiB, 0 %, 0 %, 25.59 W
2026/04/02 11:01:40.668, 0 MiB, 97887 MiB, 0 %, 0 %, 25.45 W
2026/04/02 11:01:42.669, 0 MiB, 97887 MiB, 0 %, 0 %, 25.55 W
2026/04/02 11:01:44.669, 0 MiB, 97887 MiB, 0 %, 0 %, 25.48 W
2026/04/02 11:01:46.670, 0 MiB, 97887 MiB, 0 %, 0 %, 25.37 W
2026/04/02 11:01:48.670, 0 MiB, 97887 MiB, 0 %, 0 %, 25.25 W
2026/04/02 11:01:50.671, 0 MiB, 97887 MiB, 0 %, 0 %, 25.11 W
2026/04/02 11:01:52.671, 0 MiB, 97887 MiB, 0 %, 0 %, 24.99 W
2026/04/02 11:01:54.672, 0 MiB, 97887 MiB, 0 %, 0 %, 25.01 W
2026/04/02 11:01:56.673, 0 MiB, 97887 MiB, 0 %, 0 %, 24.68 W
2026/04/02 11:01:58.673, 0 MiB, 97887 MiB, 0 %, 0 %, 24.81 W
2026/04/02 11:02:00.674, 0 MiB, 97887 MiB, 0 %, 0 %, 24.91 W
2026/04/02 11:02:02.674, 0 MiB, 97887 MiB, 0 %, 0 %, 25.14 W
2026/04/02 11:02:04.675, 0 MiB, 97887 MiB, 0 %, 0 %, 24.64 W
2026/04/02 11:02:06.676, 0 MiB, 97887 MiB, 0 %, 0 %, 24.32 W
2026/04/02 11:02:08.676, 0 MiB, 97887 MiB, 0 %, 0 %, 24.40 W
2026/04/02 11:02:10.677, 0 MiB, 97887 MiB, 0 %, 0 %, 24.18 W
2026/04/02 11:02:12.678, 0 MiB, 97887 MiB, 0 %, 0 %, 24.41 W
2026/04/02 11:02:14.679, 0 MiB, 97887 MiB, 0 %, 0 %, 24.31 W
2026/04/02 11:02:16.679, 0 MiB, 97887 MiB, 0 %, 0 %, 24.39 W
2026/04/02 11:02:18.680, 0 MiB, 97887 MiB, 0 %, 0 %, 24.21 W
2026/04/02 11:02:20.681, 0 MiB, 97887 MiB, 0 %, 0 %, 24.37 W
2026/04/02 11:02:22.681, 0 MiB, 97887 MiB, 0 %, 0 %, 24.08 W
2026/04/02 11:02:24.682, 0 MiB, 97887 MiB, 0 %, 0 %, 24.03 W
2026/04/02 11:02:26.683, 0 MiB, 97887 MiB, 0 %, 0 %, 23.76 W
2026/04/02 11:02:28.684, 0 MiB, 97887 MiB, 0 %, 0 %, 23.66 W
2026/04/02 11:02:30.685, 0 MiB, 97887 MiB, 0 %, 0 %, 23.61 W
2026/04/02 11:02:32.685, 0 MiB, 97887 MiB, 0 %, 0 %, 23.92 W
